"SVAAS — MASTER EXECUTION ENGINE  |  All Tasks, All Phases, Day 1 to Day 730 #","Dept","Category","Task","Sub-Task / Exact Action","Notes & Dependencies","Priority","Phase","Days","Cost Low","Cost Likely","Cost High","Owner"
"12","LEGAL","IP","Search trademark — SVAASKRITI","Search IP India Class 3 for Svaaskriti and phonetic variants. Confirm clear before filing.","Sub-brand needs its own trademark protection.","CRITICAL","P0","Day 1-5","-","-","-","Founder"
"13","LEGAL","IP","File trademark — brand name (Class 3)","File TM-A form via IP attorney. Small entity fee: ₹4,500. Attorney fee additional. Use (TM) symbol from day of filing.","Protection runs from filing date. Do not wait for grant (takes 18–36 months).","CRITICAL","P0","Day 20-30","Rs.4500","Rs.9000","Rs.12000","Legal"
"14","LEGAL","IP","File trademark — SVAASKRITI (Class 3)","Same process as brand TM. Two separate applications.","File simultaneously to save attorney mobilisation fee.","HIGH","P0","Day 20-30","Rs.4500","Rs.9000","Rs.12000","Legal"
"15","FOUNDER","Decision","Log all P0 decisions in Founder Decision Register","For every decision made in Phase 0: record the question, options considered, decision made, rationale, and date. Use the Founder Register sheet in this workbook.","This protects you from second-guessing later. Creates accountability and memory.","HIGH","P0","Day 1-30","-","-","-","Founder"
"16","OODLES","Setup","Sign formal service agreement between Svaas LLP and Oodles","Define scope: what Oodles provides monthly (design hours, content, photography, website), what is billed separately, turnaround times, who owns created IP (must be Svaas LLP). Even if same owner — sign it.","IP ownership ambiguity is a real risk. All creative work done for Svaas must contractually belong to Svaas LLP.","CRITICAL","P0","Day 14-30","Rs.2000","Rs.4000","Rs.6000","Legal"
"17","OODLES","Setup","Create Oodles deliverable tracker for Svaas","Set up a shared tracker (Notion/Google Sheet) listing every Svaas deliverable from Oodles: item, brief date, deadline, status, file location. Review weekly.","Without a tracker, brand work drifts and deadlines are missed. This is the coordination system.","HIGH","P0","Day 14-21","-","-","-","Oodles"
"18","COMPLIANCE","QP","Confirm B.Pharm cousin as Qualified Person","Have a direct conversation. Explain role: named on licence, must be contactable, signs off on batch records periodically. Not required daily. Agree on a nominal engagement fee.","This is the single most important non-financial decision. QP = licence unlocked. Everything waits on this conversation.","CRITICAL","P1","Day 1-7","-","-","-","Founder"
"19","COMPLIANCE","QP","Draft QP engagement letter","One-page letter: role description, batch sign-off responsibility, annual fee, confidentiality, duration. Get signed.","Formalise even with family. Protects both parties.","HIGH","P1","Day 10-20","Rs.1000","Rs.2000","Rs.3000","Legal"
"20","COMPLIANCE","Space","Assess 150 sq ft room for licence readiness","Walk through with a regulatory consultant or knowledgeable person. Check: (a) Surfaces — washable? (b) Ventilation — adequate for EO handling? (c) Access to water/wash? (d) Separate from general office use? (e) Fire extinguisher position? (f) Light adequacy?","Cosmetic licence inspector will visit. The room must look like a manufacturing space, not a storage room.","CRITICAL","P1","Day 7-14","-","-","-","Founder"
"21","COMPLIANCE","Space","Prepare manufacturing room — surfaces","Paint walls with washable emulsion. If floor is bare concrete: seal or lay SS-compatible tiles or easy-clean vinyl. Remove all non-manufacturing items.","Inspector needs to see dedicated, cleanable space. Budget for basic preparation.","HIGH","P1","Day 14-28","Rs.3000","Rs.8000","Rs.15000","Operations"
"22","COMPLIANCE","Space","Create zone markings inside room","Mark three zones (tape + printed signs): (1) Raw Material Storage, (2) Manufacturing / Processing, (3) Packaging / Labelling. Even in 150 sq ft — zone markings show process discipline.","Inspectors look for evidence of process separation.","HIGH","P1","Day 21-28","Rs.500","Rs.1000","Rs.2000","Operations"
"23","COMPLIANCE","Space","Install ventilation / exhaust fan","Essential oils are flammable and aromatic. Adequate air exchange is a safety and compliance requirement.","If room already has a window: cross-ventilation may suffice. Otherwise: exhaust fan installation.","HIGH","P1","Day 14-28","Rs.2000","Rs.3500","Rs.8000","Operations"
"24","COMPLIANCE","Space","Fire safety setup","2x ABC dry powder fire extinguisher (2kg each). Place near entry. Ensure staff know location.","Inspector checks for fire safety equipment specifically.","CRITICAL","P1","Day 21-28","Rs.1500","Rs.2500","Rs.4000","Operations"
"25","COMPLIANCE","Space","First aid kit","Standard first aid box: bandages, antiseptic, eyewash solution, burn gel. Mount on wall.","Basic safety requirement. Inspector will note absence.","HIGH","P1","Day 21-28","Rs.500","Rs.1000","Rs.1500","Operations"
"26","COMPLIANCE","Equipment","Procure SS vessels — 20L x2","Stainless steel (SS 304 food grade). 20L capacity. Use for oil infusion batches. Source: Chennai SS fabricators (Perambur, Ambattur industrial area) or online (Industry Buying, IndiaMART).","Two vessels allow parallel processing: one for oil infusion, one for herb processing.","CRITICAL","P1","Day 14-28","Rs.4000","Rs.6000","Rs.10000","Operations"
"27","COMPLIANCE","Equipment","Procure SS vessels — 10L x2, 5L x2","Smaller vessels for essential oil blending, bath salt mixing, secondary processing.","Do not use aluminium. Only SS or glass for oil-based products.","HIGH","P1","Day 14-28","Rs.3000","Rs.5000","Rs.8000","Operations"
"28","COMPLIANCE","Equipment","Procure digital weighing scale (0.1g precision)","Critical for formula accuracy. Capacity: 5kg. Precision: 0.1g. Brand: Phoenix or Essae (Chennai distributors available). Must be calibrated.","Formula is by weight. 'A handful' is not a batch record entry.","CRITICAL","P1","Day 14-21","Rs.1500","Rs.2500","Rs.4000","Operations"
"29","COMPLIANCE","Equipment","Procure pH meter","For in-process QC. Hair oil target pH: 4.5-6.5. Bath salt water pH: 6.0-7.5. Calibrate with buffer solutions monthly.","CRITICAL — every batch must be pH tested before dispatch.","CRITICAL","P1","Day 14-21","Rs.1200","Rs.2000","Rs.3500","Operations"
"30","COMPLIANCE","Equipment","Procure thermometer (food-grade probe)","For monitoring oil temperature during infusion and EO addition (must be below 40°C for EO addition).","Digital probe thermometer. Available at any kitchen supply store.","HIGH","P1","Day 14-21","Rs.500","Rs.800","Rs.1500","Operations"
"31","COMPLIANCE","Equipment","Procure measuring cylinders and funnels (SS/glass)","50ml, 100ml, 500ml, 1L graduated cylinders. SS funnel set (3 sizes). For accurate measurement and filling.","Plastic measuring tools interact with EOs. Use only SS or borosilicate glass.","HIGH","P1","Day 14-21","Rs.1500","Rs.2500","Rs.4000","Operations"
"32","COMPLIANCE","Equipment","Procure SS ladles, spoons, mesh strainer set","For stirring, scooping, and filtering herb material from oil after infusion.","Fine mesh SS strainer is critical for filtering herb residue from finished oil.","HIGH","P1","Day 14-21","Rs.800","Rs.1500","Rs.3000","Operations"
"33","COMPLIANCE","Equipment","Procure nitrile gloves, masks, aprons, hair nets","PPE for all manufacturing activities. Minimum 500 pairs gloves, 50 aprons, 100 hair nets.","Inspector checks PPE availability. Also good practice.","HIGH","P1","Day 14-21","Rs.1500","Rs.2500","Rs.4000","Operations"
"34","COMPLIANCE","Equipment","Procure SS shelving for raw material storage","Wall-mounted or floor SS shelving for ingredient storage. Separate from packaging storage.","Do not store raw materials on the floor or in cardboard boxes directly.","HIGH","P1","Day 14-28","Rs.3000","Rs.5000","Rs.9000","Operations"
"35","COMPLIANCE","Equipment","Label all storage shelves","Printed labels for each shelf zone: ingredient name, date received, batch, FIFO indicators.","Inspectors look for organised, labelled storage.","MEDIUM","P1","Day 28-35","Rs.300","Rs.500","Rs.1000","Operations"
"36","COMPLIANCE","Licence","Engage regulatory consultant for licence application","Find a regulatory consultant familiar with TN Drug Controller process. Fee: ₹8,000–₹15,000 for application preparation and follow-up.","First-time applicants almost always make mistakes without a consultant. Money well spent.","CRITICAL","P1","Day 14-21","Rs.8000","Rs.12000","Rs.15000","Founder"
"37","COMPLIANCE","Licence","Prepare licence application documents","Documents needed: LLP COI, PAN, GST certificate, LLP agreement, premises photos + layout plan, equipment list, QP credentials + letter, product list, SOP drafts.","Consultant will guide checklist. Prepare everything before submitting.","CRITICAL","P1","Day 21-35","-","-","-","Founder + QP"
"38","COMPLIANCE","Licence","Submit cosmetic manufacturing licence application to TN Drug Controller","Submit to Assistant Drug Controller, Tamil Nadu. Pay application fee. Receive acknowledgement.","Application fee: ₹2,000–₹5,000. After submission: wait for inspector visit scheduling (typically 3–8 weeks).","CRITICAL","P1","Day 35-42","Rs.2000","Rs.3500","Rs.5000","Founder + Regulatory"
"39","COMPLIANCE","Licence","Prepare for inspector visit","Clean room thoroughly. Have all equipment in place and labelled. Have QP present. Have printed SOPs displayed. Have BMR templates ready to show.","Inspector may visit 3–8 weeks after application. Be ready from Day 42 onwards.","CRITICAL","P1","Day 42-90","-","-","-","Founder + QP"
"40","COMPLIANCE","Insurance","Obtain product liability insurance","Cover: ₹10–₹25 lakh. Protects against consumer claims for adverse reactions. Get quotes from: Bajaj Allianz, HDFC Ergo, New India Assurance.","Get this before first sale. Annual premium is modest relative to downside risk.","HIGH","P1","Day 30-45","Rs.8000","Rs.12000","Rs.18000","Founder"
"41","FINANCE","Accounting","Set up accounting software","Zoho Books (₹7,200/year) or Tally Prime (₹18,000/year). Set up: chart of accounts, product codes, GST rates (18%), bank feed.","Start from Day 1 of the LLP. Every rupee in and out must be recorded from the beginning.","HIGH","P1","Day 22-35","Rs.7200","Rs.9000","Rs.18000","Finance"
"42","PRODUCT","Formula","Lock Master Formula Record (MFR) — Hair Oil","Document precisely: every ingredient by INCI name, grams per 10L batch, % of formula, processing group (fresh-cooked / dry-infused / EO blend), addition sequence, target temperature at each stage. Sign and date.","This is the legal manufacturing record. Do not alter without formal review and new version number. Store physical signed copy in locked file.","CRITICAL","P2","Day 21-35","-","-","-","Founder + QP"
"43","PRODUCT","Formula","Create Formula Version Control log","Sheet tracking: version number, date, what changed, why, who approved, first batch applied to. Even if only one version exists, start the log now.","Protects formula integrity. Prevents well-meaning people from 'simplifying' the formula without a formal decision.","HIGH","P2","Day 21-35","-","-","-","Founder"
"44","PRODUCT","Formula","Lock MFR — Heart Chakra Bath Salt","Document: Epsom salt quantity, Himalayan salt quantity, essential oils (bergamot, rose) in grams not drops, Polysorbate 20 quantity, dried rose petals quantity. Note: Polysorbate 20 is critical for oil-in-water dispersion — must be documented.","Bath salt appears simple but oil separation in water is a common failure. Polysorbate 20 ratio must be precise.","CRITICAL","P2","Day 28-42","-","-","-","Founder + QP"
"45","PRODUCT","Formula","Lock MFR — Root Chakra Bath Salt","Same format as Heart Chakra. Document frankincense and lavender EO quantities precisely. Note dried flower quantities.","Keep both bath salt MFRs in same format for consistency.","CRITICAL","P2","Day 28-42","-","-","-","Founder + QP"
"46","PRODUCT","SOP","Write SOP-MFG-001: Hair Oil Manufacturing","Step-by-step from sanitisation through to final filling. Must cover: fresh ingredient cooking and moisture evaporation process, dry herb infusion (time, temperature, filtration), EO addition below 40°C, QC checks at each stage. Print, laminate, post on wall.","This is the most complex SOP. Allocate 1 full day to write it properly.","CRITICAL","P2","Day 28-42","-","-","-","Founder + QP"
"47","PRODUCT","SOP","Write SOP-MFG-002: Fresh Ingredient Processing","Dedicated SOP for fresh botanicals: onion, ginger, curry leaves, hibiscus, aloe vera, basil, mint. Covers: washing, chopping, quantity, cooking in oil, moisture evaporation signs, when to proceed to next step. This is the most technically specific SOP.","Fresh ingredient processing is where most handmade oils have quality inconsistency. This SOP is your quality differentiator.","CRITICAL","P2","Day 28-42","-","-","-","Founder"
"48","PRODUCT","SOP","Write SOP-MFG-003: Dry Herb Infusion","Covers: cold infusion vs warm infusion decision, temperature range, duration, filtration process, acceptable colour and odour outcomes, rejection criteria.","Separate from fresh ingredient SOP. Different process, different risks.","HIGH","P2","Day 35-49","-","-","-","Founder + QP"
"49","PRODUCT","SOP","Write SOP-MFG-004: Essential Oil Addition","Temperature requirement (below 40°C — non-negotiable), sequence of EO addition, blending time, why this temperature matters. Post in large print near the SS vessel.","EO degradation above 40°C destroys fragrance and some therapeutic properties. This SOP prevents the most common handmade oil mistake.","CRITICAL","P2","Day 35-49","-","-","-","Founder"
"50","PRODUCT","SOP","Write SOP-MFG-005: Bath Salt Manufacturing","Polysorbate 20 mixing with EOs first, then addition to salt, mixing sequence, dried flower addition, jar filling, sealing. QC checks for: fragrance intensity, visual appearance, no oil separation test.","Simpler than hair oil but still needs documentation for consistency.","HIGH","P2","Day 35-49","-","-","-","Founder"
"51","PRODUCT","SOP","Write SOP-QC-001: In-Process Quality Control","QC checkpoints: after filtration, pre-fill, post-fill. What to check at each: colour vs reference standard, odour, pH, fill volume (100ml ± 2ml), viscosity observation, cap torque.","Create a colour reference card from first approved batch. Every subsequent batch compared against it.","CRITICAL","P2","Day 35-49","-","-","-","QP + Founder"
"52","PRODUCT","SOP","Write SOP-QC-002: Incoming Raw Material Check","For every delivery: visual inspection, odour check, weight verification vs invoice, supplier batch number recorded. Acceptance / rejection criteria. Return process.","Single most important contamination prevention step.","HIGH","P2","Day 35-49","-","-","-","Operations"
"53","PRODUCT","SOP","Write SOP-PKG-001: Bottle Filling and Capping","Fill weight per bottle, fill tool, wipe exterior, nozzle cap application, torque check, leak test (invert 30 seconds). Comb cap separate pouch into carton.","Leaking bottles are the fastest way to destroy brand trust.","CRITICAL","P2","Day 42-56","-","-","-","Operations"
"54","PRODUCT","SOP","Write SOP-PKG-002: Label Application","Label jig use, correct orientation, centre alignment, batch stamp position, bubble removal. Crooked labels on a Rs 599 product are unacceptable.","Build a simple cardboard jig to ensure every label is placed identically.","HIGH","P2","Day 42-56","-","-","-","Operations"
"55","PRODUCT","SOP","Write SOP-PKG-003: Carton Assembly and Dispatch","Carton fold, insert card placement, product placement, seal, batch number on carton, pre-dispatch QC checklist, stacking for storage.","Include visual guide with photos if possible.","HIGH","P2","Day 42-56","-","-","-","Operations"
"56","PRODUCT","SOP","Write SOP-SAF-001: Manufacturing Safety","Fire extinguisher location, EO flash point awareness, no naked flames near EOs, PPE requirements, first aid location, emergency contacts list posted on wall.","Post on wall in manufacturing room permanently.","CRITICAL","P2","Day 28-42","-","-","-","Founder"
"57","PRODUCT","Records","Design Batch Manufacturing Record (BMR) template","Template fields: batch number (format: SVHOP-YYYYMMDD-001), product, date, operator name, each ingredient quantity in (weighed and recorded), any deviations, QC check results at each stage, yield, packaging quantity, QP sign-off. Print 50 copies.","One BMR per batch. File all BMRs for 5 years. This is your legal protection.","CRITICAL","P2","Day 28-42","Rs.300","Rs.500","Rs.1000","QP + Founder"
"58","PRODUCT","Records","Design Retain Sample Log","Fields: batch number, product, date, quantity retained (50ml minimum), storage location, monthly observation notes, disposal date.","Keep one retain sample per batch for 2 years (or product shelf life + 6 months).","HIGH","P2","Day 35-42","-","-","-","QP"
"59","PRODUCT","Costing","Calculate precise COGS for hair oil (100ml)","From MFR quantities: total ingredient cost per 10L batch ÷ yield = per 100ml cost. Add: bottle + cap + label + carton + insert + labour (allocated) + overhead (allocated). Target: below ₹140 per unit.","If COGS exceeds ₹140, review packaging costs first, not ingredient quantities.","CRITICAL","P2","Day 35-49","-","-","-","Finance + Founder"
"60","PRODUCT","Costing","Calculate COGS for each bath salt SKU (150g)","Same process. Target total COGS below ₹65 per unit for ₹299 MRP to yield acceptable margin.","Bath salts have simpler formula. COGS should be well under ₹65.","HIGH","P2","Day 35-49","-","-","-","Finance + Founder"
"61","SUPPLY CHAIN","Vendors","Build vendor master for all 61 ingredients","For each ingredient: vendor name, location, contact, MOQ, price per kg, lead time, quality notes, backup vendor identified. Use Supply Chain sheet.","Do this before placing first bulk order. Quality varies enormously between vendors.","CRITICAL","P2","Day 21-35","-","-","-","Operations"
"62","SUPPLY CHAIN","Vendors","Request samples from 2 vendors per Tier 1 ingredient","Tier 1 ingredients (>5% of formula by volume): coconut oil, sesame oil, jojoba oil. Order 100ml–500ml samples from 2 different vendors each. Evaluate: colour, odour, viscosity, clarity.","Never bulk order without sample evaluation first.","CRITICAL","P2","Day 21-35","Rs.2000","Rs.3500","Rs.6000","Operations"
"63","SUPPLY CHAIN","Vendors","Source essential oils from Kannauj vendors","Contact 2–3 Kannauj (UP) essential oil suppliers: SN Perfumeries, Shakti EO, others via IndiaMART. Request samples of: frankincense, bergamot, lavender, patchouli, frankincense. MOQ typically 100g–500g.","Kannauj is India's EO capital. Quality and price far better than retail Chennai. Shipping 2–3 days.","HIGH","P2","Day 21-35","Rs.2000","Rs.4000","Rs.8000","Operations"
"64","SUPPLY CHAIN","Vendors","Source rare Tamil herbs from Chennai Siddha suppliers","Magizhmpoo (Spanish Cherry Flower), Anjanakal (Surma Stone), Karboga Arisi (Babchi), Korai Kilangu (Nut Grass), Ponnanganni: source from Siddha medicine suppliers on Chennai Bypass Road / Nattar Pettai area.","These are your brand differentiators. Do not substitute with generic alternatives.","CRITICAL","P2","Day 21-35","Rs.1000","Rs.2000","Rs.4000","Operations"
"65","SUPPLY CHAIN","Vendors","Buy buffer stock of seasonal ingredients","Amla (season Oct–Feb), Spanish Cherry Flower (seasonal), Rose Petals (season Feb–Apr): buy dried 6-month supply when available. Do not wait until needed.","Seasonal stockouts will interrupt production. Buy ahead.","HIGH","P2","Day 21-56","Rs.3000","Rs.6000","Rs.12000","Operations"
"66","SUPPLY CHAIN","Storage","Set up ingredient storage system","SS shelves labelled by ingredient. FIFO labels on every container. EOs in cool dark location (AC room or insulated box). Fresh botanicals: refrigerator. Dried herbs: airtight bins.","Temperature matters for EO quality. Chennai heat will degrade EOs stored at room temperature.","HIGH","P2","Day 28-42","Rs.2000","Rs.4000","Rs.8000","Operations"
"67","SUPPLY CHAIN","Storage","Buy storage containers","Airtight SS or food-grade HDPE containers for dried herbs (500g, 1kg, 5kg sizes). Dark glass bottles for EOs. Food-grade drums (5L, 20L) for base oils.","Label every container: ingredient, vendor, date received, batch number.","HIGH","P2","Day 28-42","Rs.3000","Rs.5000","Rs.9000","Operations"
"68","SUPPLY CHAIN","Inventory","Set up raw material inventory tracker","Google Sheet or Zoho Inventory: ingredient name, unit, quantity on hand, reorder point, reorder quantity, supplier, last purchase date, price.","Update every time ingredients are received or used in a batch.","HIGH","P2","Day 35-42","-","-","-","Operations"
"69","PACKAGING","Bottles","Deploy existing 1,100 PET bottles for beta and first orders","Transparent PET is suitable for beta testing and early gifting. Test leak performance with nozzle cap first. Deploy this inventory before ordering new bottles.","This is ₹15,000–₹22,000 of sunk investment. Extract full value from it.","HIGH","P2","Day 28-42","-","-","-","Operations"
"70","PACKAGING","Bottles","Test PET bottle with nozzle cap for leak performance","Fill 10 bottles with actual hair oil. Apply nozzle cap. Invert for 24 hours at room temperature and 40°C (simulate Chennai summer transit). Check for any leakage.","This test must happen before any orders are dispatched. Leaking bottles = returns and brand damage.","CRITICAL","P2","Day 28-35","-","-","-","Operations"
"71","PACKAGING","Bottles","Source amber PET 100ml bottles (500 units) for commercial launch","Vendors: SB Packaging Chennai, Maharashtra packaging belt (IndiaMART search: amber PET 100ml pump bottle). Get samples first. Check: neck diameter fits nozzle/pump cap, base flat, label area dimensions match label design.","Order samples before bulk. Neck diameter is critical — must match cap spec.","HIGH","P2","Day 35-56","Rs.6000","Rs.10000","Rs.16000","Operations"
"72","PACKAGING","Caps","Source nozzle / pump caps (500 units)","Match neck diameter of chosen bottle. Test with actual oil: pump must dispense 1–2ml per press. Metal actuator preferred for premium feel.","Test cap on bottle with actual oil before ordering bulk. Oil viscosity affects pump performance.","HIGH","P2","Day 35-56","Rs.5000","Rs.8000","Rs.14000","Operations"
"73","PACKAGING","Caps","Create comb cap insertion pack","Small resealable polybag or kraft envelope to contain comb cap inside carton. Print: 'Comb Applicator — For Scalp Application.' This adds perceived value and solves the transit leak problem.","Comb cap in branded mini-pouch inside carton = premium unboxing detail.","MEDIUM","P2","Day 42-56","Rs.1000","Rs.2000","Rs.4000","Operations + Oodles"
"74","PACKAGING","Labels","Finalise label content for all three panels","Front panel: confirmed. Left panel (QR side): QR code + MRP + MFG date field + expiry field + address + licence number field. Right panel (benefit side): replace Lorem ipsum with three claim sections — 'Natural Scent', 'Natural Ingredients', 'No Synthetic Fragrance' — write 2 sentences each aligned to Food For Hair positioning.","Right panel content must be written before label can go to print. Three 2-sentence descriptions needed.","CRITICAL","P2","Day 28-42","-","-","-","Founder + Oodles"
"75","PACKAGING","Labels","Add compliance fields to label artwork","Ensure label includes: INCI ingredient list (all 61+ in descending order by weight), net quantity (100ml), batch number field (blank for stamping), MFG date field, best before field, MRP (₹599 or revised), manufacturer name + address + licence number field, directions, cautions.","Get label proof reviewed by regulatory consultant before printing. Cost: ₹2,000–₹3,000 for review.","CRITICAL","P2","Day 35-49","Rs.2000","Rs.2500","Rs.3500","Regulatory + Oodles"
"76","PACKAGING","Labels","Get barcode (EAN-13) from GS1 India","Register at gs1india.org. Get GTIN (barcode number) for each SKU. Mandatory for retail — POS cannot scan without barcode.","Without barcode: retail chain cannot process your product. Register all 3 launch SKUs simultaneously.","CRITICAL","P2","Day 28-42","Rs.2400","Rs.3600","Rs.4800","Founder"
"77","PACKAGING","Labels","Add barcode to label artwork","Embed EAN-13 barcode in back panel of label. Print test barcode and scan with barcode scanner app to verify it reads correctly.","Do not print final labels until barcode scan test passes.","CRITICAL","P2","Day 42-56","-","-","-","Oodles"
"78","PACKAGING","Labels","Print first label run (1,000 per SKU)","Print on matte weatherproof adhesive stock. Test adhesion on PET and amber PET bottles. Test heat resistance (labels must not peel in Chennai summer at 40°C+ in transit).","Get printed samples before full run. Check: colours match screen, text legible at 1.5mm minimum font size.","HIGH","P2","Day 49-63","Rs.9000","Rs.15000","Rs.24000","Oodles + Vendor"
"79","PACKAGING","Carton","Finalise outer carton design","Matchbox-sleeve style (confirmed direction from Gemini / ChatGPT). Kraft board 300 gsm. External: logo, product name, 61+, key benefit line. Internal top flap: 2-line ingredient story + QR code + 'Handmade in Chennai'. Bottom: batch number area.","The sleeve/carton is premium-signal 1. Get it right.","HIGH","P2","Day 35-56","Rs.3000","Rs.5000","Rs.8000","Oodles"
"80","PACKAGING","Carton","Print outer carton — 500 units initial","Get 3 quotes from Chennai packaging vendors. Check: print quality on kraft, box rigidity, fit of bottle inside sleeve. Order 500 units for launch — do not over-order on first print run.","Packaging vendors: check Saidapet area and Guindy industrial estate in Chennai.","HIGH","P2","Day 49-70","Rs.8000","Rs.15000","Rs.25000","Operations + Vendor"
"81","PACKAGING","Insert","Design and print product insert card","90mm × 60mm or similar. Side 1: Svaas origin story (100 words, Food For Hair philosophy). Side 2: how to use + 5 hero ingredients (Bhringraj, Amla, Jatamasi, Coconut, Frankincense) + WhatsApp number + QR code for ingredient library.","Print on recycled / seed paper. This is a brand-building touchpoint read at first use.","MEDIUM","P2","Day 49-63","Rs.2000","Rs.3500","Rs.6000","Oodles + Vendor"
"82","PACKAGING","Gift","Design gift box for 2-product set (hair oil + 1 bath salt)","Kraft gift box with pull ribbon, tissue paper, personalised card slot. Can be used for Diwali / New Year / Women's Day corporate gifting. MOQ 100 units.","Gift box = immediate corporate revenue opportunity. Design it before soft launch.","HIGH","P2","Day 49-70","Rs.5000","Rs.8000","Rs.15000","Oodles + Vendor"
"83","PACKAGING","Label jig","Build label application jig","Simple acrylic or cardboard jig marking exact label position on bottle. Ensures every bottle has label in same position. Prevents the crooked-label problem.","This takes 30 minutes to make and saves hours of rework. Do it before first labelling session.","MEDIUM","P2","Day 42-49","Rs.200","Rs.500","Rs.2000","Operations"
"84","BRAND","Constitution","Write Brand Constitution document","Define in one locked document: What Svaas is. What Svaas is not. The Food For Hair philosophy. Tone of voice. What claims are never made. Visual principles. What the brand will never become. Every agency, designer, and content creator works from this document.","This is the most important brand document. Without it, every external contributor will interpret the brand differently.","CRITICAL","P2","Day 21-35","-","-","-","Founder + Oodles"
"85","BRAND","Positioning","Rewrite all existing content for Food For Hair positioning","Audit: 30 social posts, website copy, ingredient descriptions, product descriptions. Replace: 'hair fall treatment' language with 'nourishment' language. Replace: 'hair growth' with 'supports healthy hair growth'. Remove all therapeutic claim language before any asset goes live.","This is a focused 2–3 day content project. Must happen before any marketing begins.","CRITICAL","P2","Day 28-42","-","-","-","Oodles + Founder"
"86","BRAND","Website","Finalise Shopify store build","Plan: Shopify Basic (₹1,499/month). Theme: Dawn or Debut. Domain: purchased domain. Integrate: Razorpay (2% TDR). Install: Loox for reviews, Klaviyo for email.","Build the store now so it can be tested before soft launch. A live but not-yet-public store.","HIGH","P2","Day 28-49","Rs.1499","Rs.3000","Rs.8000","Oodles"
"87","BRAND","Website","Create product pages — all 3 launch SKUs","Each page: 5+ product photos, product name, price, 3 key claims (bullets), ingredient highlights, how to use, FAQ section, reviews placeholder. Mobile-first layout.","Most customers will view on mobile. Test every page on mobile before launch.","HIGH","P2","Day 42-56","-","-","-","Oodles"
